create_timestamp,player_id,score
2021/01/01 12:00,player0001,12345
2021/01/02 13:00,player0002,10000
2021/01/03 12:00,player0021,100
2021/01/04 12:10,player0031,300
2021/01/05 12:00,player0041,300
2021/01/06 12:00,player0001,10000
2021/01/01 12:00,player0001,12345
2021/01/02 13:00,player0002,10000
2021/01/03 12:00,player0021,100
2021/01/04 12:10,player0031,300
2021/01/05 12:00,player0041,300
2021/01/06 12:00,player001,1000
2021/01/02 13:00,player002,1000
2021/01/03 12:00,player021,10
2021/01/04 12:10,player031,30
2021/01/05 12:00,player041,30
2021/01/06 12:00,player001,1000
2021/01/02 13:00,player002,1000
2021/01/03 12:00,player021,10
2021/01/04 12:10,player031,30
2021/01/05 12:00,player041,30
2021/01/06 12:00,player01,100
2021/01/05 12:00,player41,3
2021/01/06 12:00,player01,100
2021/01/02 13:00,player02,100
2021/01/03 12:00,player21,1
2021/01/04 12:10,player31,3
2021/01/05 12:00,player41,3
2021/01/06 12:00,player01,100
